K_cap,k_low,-,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
45,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
35,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,7,0.373469767461,0.373469767461,0.373469767461,0.373469767461,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,11,0.37344982441,0.37344982441,0.37344982441,0.37344982441,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
7,6,0.373393744437,0.373393744437,0.373393744437,0.373393744437,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,9,0.373302543252,0.368679303899,0.36960395177,0.368679303899,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,9,0.373302543252,0.373302543252,0.373302543252,0.373302543252,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,9,0.373302543252,0.373302543252,0.373302543252,0.373302543252,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,11,0.37313966598,0.370113275632,0.372534387911,0.37313966598,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
14,7,0.372741708144,0.370106157707,0.372214598057,0.372741708144,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,8,0.372263157924,0.372263157924,0.372263157924,0.372263157924,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,8,0.372263157924,0.372263157924,0.372263157924,0.372263157924,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,8,0.372263157924,0.372263157924,0.372263157924,0.372263157924,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
12,9,0.372144121074,0.372144121074,0.372144121074,0.372144121074,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,9,0.37204385302,0.368474914158,0.371330065247,0.37204385302,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,8,0.371904093909,0.371756111118,0.37187449735,0.371904093909,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
16,8,0.371863093331,0.371863093331,0.371863093331,0.371863093331,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
17,9,0.371863093331,0.371863093331,0.371863093331,0.371863093331,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
18,8,0.371756111118,0.369891828387,0.370264684933,0.369891828387,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
10,8,0.370202684598,0.370202684598,0.370202684598,0.370202684598,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
17,8,0.370000137863,0.368990935172,0.369798297325,0.370000137863,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
12,8,0.370000137863,0.370000137863,0.370000137863,0.370000137863,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
20,10,0.369320009905,0.367550656266,0.368966139177,0.369320009905,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,10,0.369157610662,0.365447468159,0.368415582162,0.369157610662,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
8,6,0.369091032364,0.369091032364,0.369091032364,0.369091032364,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
11,8,0.369044746481,0.369044746481,0.369044746481,0.369044746481,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
11,9,0.369044746481,0.369044746481,0.369044746481,0.369044746481,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,10,0.368821306607,0.365203114176,0.368097668121,0.368821306607,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,10,0.368821306607,0.36700901358,0.368458848001,0.368821306607,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,10,0.368679303899,0.368679303899,0.368679303899,0.368679303899,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
24,10,0.368679303899,0.368679303899,0.368679303899,0.368679303899,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,10,0.368679303899,0.368679303899,0.368679303899,0.368679303899,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,10,0.368679303899,0.368679303899,0.368679303899,0.368679303899,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,11,0.368627849688,0.368627849688,0.368627849688,0.368627849688,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,9,0.368474914158,0.368474914158,0.368474914158,0.368474914158,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
19,7,0.368327961922,0.368327961922,0.368327961922,0.368327961922,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
18,7,0.368327961922,0.368327961922,0.368327961922,0.368327961922,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
17,7,0.368244512174,0.368244512174,0.368244512174,0.368244512174,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
16,7,0.368244512174,0.368244512174,0.368244512174,0.368244512174,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,10,0.367921019067,0.367921019067,0.367921019067,0.367921019067,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
