K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
40,19,0,0.463670567129,0.462166211216,0.463369695946,0.463670567129,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,13,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,13,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,13,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
45,14,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,14,0,0.463160919439,0.457997618335,0.459030278556,0.457997618335,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,15,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
90,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
85,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
80,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
60,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
55,16,0,0.463160919439,0.463160919439,0.463160919439,0.463160919439,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
