K_cap,sigma,NMI_max,NMI_min,NMI_avg,NMI_med
450,4.5,0.206097157776,0.205777215353,0.205841203838,0.205777215353
500,2.3,0.205771372902,0.2057306135,0.205763221022,0.205771372902
450,5.5,0.207347762801,0.205715631791,0.206042057993,0.205715631791
450,6.5,0.205406523199,0.204917178507,0.205308654261,0.205406523199
500,2.5,0.205544120853,0.205229982605,0.205292810255,0.205229982605
450,7,0.205340573196,0.20508367066,0.205135051167,0.20508367066
450,7.5,0.204950929752,0.204950929752,0.204950929752,0.204950929752
450,2.6,0.20447676077,0.20349090665,0.203688077474,0.20349090665
450,2.5,0.199717522692,0.197732515561,0.198129516987,0.197732515561
450,2.4,0.197296488709,0.197296488709,0.197296488709,0.197296488709
450,2.3,0.196062723877,0.195891652846,0.19602850967,0.196062723877
500,2,0.195563398665,0.195428488394,0.195455470448,0.195428488394
450,2.2,0.194916812904,0.194916812904,0.194916812904,0.194916812904
450,2.1,0.192535345241,0.192535345241,0.192535345241,0.192535345241
450,2,0.19244659042,0.191807533438,0.192318779024,0.19244659042
